vertical,class_code,class_of_business,lines_of_business,submissions_12m,auto_quoted_12m,bound_12m,auto_quote_rate_pct,bind_rate_pct,appetite_note
Contractors,98813,Sewer Cleaning,"Excess Standalone, GL",18,15,4,83.3,25.0,Moderate appetite – converts well
Contractors,90089,Advertising Sign Cos.–Outdoor,"Excess Standalone, GL",28,14,9,50.0,47.4,Moderate appetite – converts well
Contractors,91250,"Boiler Inspection, Installation, Cleaning or Repair","Excess Standalone, GL",21,12,0,57.1,0.0,Moderate appetite
Contractors,98698,Salvage Operations,"Excess Standalone, GL",25,12,3,48.0,21.4,Moderate appetite – converts well
Contractors,98344,Paperhanging,"Excess Standalone, GL",19,11,3,57.9,23.1,Moderate appetite – converts well
Contractors,98640,Renovating–Outside Surfaces of Buildings,"Excess Standalone, GL",22,11,1,50.0,8.3,Moderate appetite
Contractors,99952,Waterproofing–By Pressure Apparatus,"Excess Standalone, GL",19,11,5,57.9,31.3,Moderate appetite – converts well
Contractors,14913,Locksmiths,GL,22,10,1,45.5,7.7,Moderate appetite
Contractors,99709,"Tent or Canvas Goods–Erection, Removal or Repair–Away from Shop","Excess Standalone, GL",22,10,6,45.5,40.0,Moderate appetite – converts well
Contractors,92101,Drilling–Other Than Water,GL,9,8,1,88.9,12.5,Limited appetite – low volume
Contractors,98710,Sand or Gravel Digging,"Excess Standalone, GL",11,8,3,72.7,33.3,Limited appetite – low volume
Contractors,97221,"Machinery or Equipment–Farm–Installation, Servicing, Repair or Erection",GL,9,7,0,77.8,0.0,Limited appetite – low volume
Contractors,99953,Waterproofing–By Trowel–Exterior,GL,11,7,1,63.6,12.5,Limited appetite – low volume
Contractors,49840,Window Decorating,"Excess Standalone, GL",8,6,0,75.0,0.0,Limited appetite – low volume
Contractors,98699,"Salvage Operations–Removing, Sorting, Reconditioning and Distributing of Merchandise in Damaged Buildings and Incidental Operations Away from Such Buildings","Excess Standalone, GL",29,5,1,17.2,11.1,Limited appetite – low volume
Contractors,99004,Sign Painting or Lettering–on Buildings or Structures,"Excess Standalone, GL",10,5,2,50.0,28.6,Limited appetite – low volume
Contractors,99826,Upholstering,"Excess Standalone, GL",11,5,1,45.5,12.5,Limited appetite – low volume
Contractors,99827,Upholstering–Shop Only,GL,6,5,1,83.3,16.7,Limited appetite – low volume
Contractors,98111,"Office Machines or Appliances–Installation, Inspection, Adjustment or Repair","Excess Standalone, GL",7,4,1,57.1,20.0,Limited appetite – low volume
Contractors,95505,Guniting or Shot-Crete,GL,5,3,2,60.0,40.0,Limited appetite – low volume
Contractors,98308,Painting–Shop Only,GL,5,3,0,60.0,0.0,Limited appetite – low volume
Contractors,99003,Sign Painting or Lettering–Inside of Buildings,"Excess Standalone, GL",6,3,0,50.0,0.0,Limited appetite – low volume
Contractors,99165,Steam Pipe or Boiler Insulation,GL,5,2,0,40.0,0.0,Edge / rare class – verify eligibility before quoting
Contractors,91507,Clay or Shale Digging,GL,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Contractors,91591,Contractors–Subcontracted Work–Other Than Construction-Related Work,GL,4,1,1,25.0,50.0,Edge / rare class – verify eligibility before quoting
Contractors,95487,Greenhouse Erection,GL,5,1,1,20.0,33.3,Edge / rare class – verify eligibility before quoting
Cyber,524210,Insurance Agencies and Brokerages,Cyber,84,34,15,40.5,27.3,Moderate appetite – converts well
Cyber,541511,Custom Computer Programming Services,Cyber,35,11,6,31.4,25.0,Moderate appetite – converts well
Cyber,541512,Computer Systems Design Services,Cyber,14,7,1,50.0,11.1,Limited appetite – low volume
Cyber,541219,Other Accounting Services,Cyber,8,5,0,62.5,0.0,Limited appetite – low volume
Cyber,541613,Marketing Consulting Services,Cyber,15,4,3,26.7,37.5,Limited appetite – low volume
Cyber,721110,Hotels (except Casino Hotels) and Motels,Cyber,10,4,1,40.0,14.3,Limited appetite – low volume
Cyber,813410,Civic and Social Organizations,Cyber,5,4,2,80.0,40.0,Limited appetite – low volume
Cyber,238210,Electrical Contractors and Other Wiring Installation Contractors,Cyber,4,3,0,75.0,0.0,Limited appetite – low volume
Cyber,238990,All Other Specialty Trade Contractors,Cyber,3,3,1,100.0,33.3,Limited appetite – low volume
Cyber,484121,"General Freight Trucking, Long-Distance, Truckload",Cyber,3,3,1,100.0,33.3,Limited appetite – low volume
Cyber,488510,Freight Transportation Arrangement,Cyber,3,3,1,100.0,33.3,Limited appetite – low volume
Cyber,531210,Offices of Real Estate Agents and Brokers,Cyber,7,3,0,42.9,0.0,Limited appetite – low volume
Cyber,541213,Tax Preparation Services,Cyber,9,3,2,33.3,33.3,Limited appetite – low volume
Cyber,541611,Administrative Management and General Management Consulting Services,Cyber,10,3,2,30.0,25.0,Limited appetite – low volume
Cyber,541690,Other Scientific and Technical Consulting Services,Cyber,10,3,4,30.0,57.1,Limited appetite – low volume
Cyber,621610,Home Health Care Services,Cyber,4,3,1,75.0,25.0,Limited appetite – low volume
Cyber,722511,Full-Service Restaurants,Cyber,6,3,1,50.0,25.0,Limited appetite – low volume
Cyber,323111,Commercial Printing (except Screen and Books),Cyber,2,2,1,100.0,50.0,Edge / rare class – verify eligibility before quoting
Cyber,423220,Home Furnishing Merchant Wholesalers,Cyber,2,2,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,441120,Used Car Dealers,Cyber,2,2,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,518210,"Data Processing, Hosting, and Related Services",Cyber,7,2,1,28.6,33.3,Edge / rare class – verify eligibility before quoting
Cyber,519130,Internet Publishing and Broadcasting and Web Search Portals,Cyber,2,2,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,519190,All Other Information Services,Cyber,4,2,0,50.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,522310,Mortgage and Nonmortgage Loan Brokers,Cyber,4,2,0,50.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,523930,Investment Advice,Cyber,2,2,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,523999,Miscellaneous Financial Investment Activities,Cyber,2,2,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,541519,Other Computer Related Services,Cyber,4,2,1,50.0,50.0,Edge / rare class – verify eligibility before quoting
Cyber,541618,Other Management Consulting Services,Cyber,3,2,0,66.7,0.0,Edge / rare class – verify eligibility before quoting
Cyber,621330,Offices of Mental Health Practitioners (except Physicians),Cyber,3,2,0,66.7,0.0,Edge / rare class – verify eligibility before quoting
Cyber,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",Cyber,3,2,1,66.7,50.0,Edge / rare class – verify eligibility before quoting
Cyber,624210,Community Food Services,Cyber,3,2,1,66.7,33.3,Edge / rare class – verify eligibility before quoting
Cyber,722513,Limited-Service Restaurants,Cyber,2,2,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,237110,Water and Sewer Line and Related Structures Construction,Cyber,1,1,1,100.0,100.0,Edge / rare class – verify eligibility before quoting
Cyber,238160,Roofing Contractors,Cyber,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,238350,Finish Carpentry Contractors,Cyber,1,1,1,100.0,100.0,Edge / rare class – verify eligibility before quoting
Cyber,315990,Apparel Accessories and Other Apparel Manufacturing,Cyber,2,1,0,50.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,316210,Footwear Manufacturing,Cyber,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,331315,"Aluminum Sheet, Plate, and Foil Manufacturing",Cyber,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,Cyber,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,334290,Other Communications Equipment Manufacturing,Cyber,1,1,1,100.0,100.0,Edge / rare class – verify eligibility before quoting
Cyber,337125,Household Furniture (except Wood and Metal) Manufacturing,Cyber,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,339910,Jewelry and Silverware Manufacturing,Cyber,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,Cyber,2,1,0,50.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,423690,Other Electronic Parts and Equipment Merchant Wholesalers,Cyber,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,423820,Farm and Garden Machinery and Equipment Merchant Wholesalers,Cyber,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,446120,"Cosmetics, Beauty Supplies, and Perfume Stores",Cyber,2,1,0,50.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,448140,Family Clothing Stores,Cyber,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,448320,Luggage and Leather Goods Stores,Cyber,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),Cyber,3,1,0,33.3,0.0,Edge / rare class – verify eligibility before quoting
Cyber,454210,Vending Machine Operators,Cyber,2,1,0,50.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,454390,Other Direct Selling Establishments,Cyber,1,1,1,100.0,100.0,Edge / rare class – verify eligibility before quoting
Cyber,484110,"General Freight Trucking, Local",Cyber,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,493110,General Warehousing and Storage,Cyber,2,1,0,50.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,511210,Software Publishers,Cyber,12,1,3,8.3,42.9,Edge / rare class – verify eligibility before quoting
Cyber,522291,Consumer Lending,Cyber,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,522390,Other Activities Related to Credit Intermediation,Cyber,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,523920,Portfolio Management,Cyber,1,1,1,100.0,100.0,Edge / rare class – verify eligibility before quoting
Cyber,524291,Claims Adjusting,Cyber,2,1,0,50.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,524298,All Other Insurance Related Activities,Cyber,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,531110,Lessors of Residential Buildings and Dwellings,Cyber,2,1,0,50.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,531190,Lessors of Other Real Estate Property,Cyber,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,531311,Residential Property Managers,Cyber,3,1,0,33.3,0.0,Edge / rare class – verify eligibility before quoting
Cyber,541199,All Other Legal Services,Cyber,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,541310,Architectural Services,Cyber,2,1,0,50.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,541330,Engineering Services,Cyber,2,1,1,50.0,50.0,Edge / rare class – verify eligibility before quoting
Cyber,541490,Other Specialized Design Services,Cyber,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,541612,Human Resources Consulting Services,Cyber,2,1,0,50.0,0.0,Edge / rare class – verify eligibility before quoting
Cyber,541614,"Process, Physical Distribution, and Logistics Consulting Services",Cyber,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
