vertical,class_code,class_of_business,lines_of_business,gl_eligible,excess_eligible,property_eligible,cyber_eligible,package_eligible,submissions_12m,auto_quoted_12m,bound_12m,auto_quote_rate_pct,bind_rate_pct,appetite_note
Contractors,91523,Cleaning–Outside Surfaces of Buildings & Other Exterior Surfaces,"Excess Standalone, GL",YES,YES,NO,NO,NO,145,98,2,67.6,1.8,Strong appetite – high volume
Contractors,91302,Cable Installation in Conduits or Subways,"Excess Standalone, GL",YES,YES,NO,NO,NO,146,81,16,55.5,16.0,Strong appetite – high volume
Contractors,97653,Metal Erection–Nonstructural,"Excess Standalone, GL",YES,YES,NO,NO,NO,104,76,34,73.1,37.8,"Strong appetite – high volume, strong conversion"
Contractors,98884,Sheet Metal Work–Outside,"Excess Standalone, GL",YES,YES,NO,NO,NO,93,73,16,78.5,20.3,"Strong appetite – high volume, strong conversion"
Contractors,99955,Waterproofing,"Excess Standalone, GL",YES,YES,NO,NO,NO,102,73,17,71.6,21.0,"Strong appetite – high volume, strong conversion"
Contractors,99506,"Swimming Pools–Installation, Servicing or Repair–Above Ground","Excess Standalone, GL",YES,YES,NO,NO,NO,88,70,28,79.5,33.7,"Strong appetite – high volume, strong conversion"
Contractors,91150,"Appliances and Accessories–Installation, Servicing or Repair–Commercial","Excess Standalone, GL",YES,YES,NO,NO,NO,95,68,20,71.6,25.3,"Strong appetite – high volume, strong conversion"
Contractors,97222,"Machinery or Equipment–Industrial–Installation, Servicing or Repair","Excess Standalone, GL",YES,YES,NO,NO,NO,87,68,5,78.2,7.0,Strong appetite – high volume
Contractors,98993,"Sign Erection, Installation or Repair","Excess Standalone, GL",YES,YES,NO,NO,NO,116,68,20,58.6,22.2,"Strong appetite – high volume, strong conversion"
Contractors,96702,Irrigation or Drainage System Construction,"Excess Standalone, GL",YES,YES,NO,NO,NO,73,60,4,82.2,6.6,Strong appetite – high volume
Contractors,98806,"Septic Tank Systems–Installation, Servicing or Repair","Excess Standalone, GL",YES,YES,NO,NO,NO,82,59,22,72.0,30.6,"Strong appetite – high volume, strong conversion"
Contractors,96408,Insulation Work–Plastic,"Excess Standalone, GL",YES,YES,NO,NO,NO,72,57,8,79.2,12.3,Strong appetite – high volume
Contractors,95124,Furniture or Fixtures–Installation in Offices or Stores–Portable–Metal or Wood,"Excess Standalone, GL",YES,YES,NO,NO,NO,85,55,29,64.7,41.4,"Strong appetite – high volume, strong conversion"
Contractors,90511,Cleaning or Washing by Pressure Apparatus,"Excess Standalone, GL",YES,YES,NO,NO,NO,114,52,16,45.6,23.9,"Strong appetite – high volume, strong conversion"
Contractors,91581,"Contractors–Subcontracted Work–In Connection with Construction, Reconstruction, Erection or Repair–Not Buildings","Excess Standalone, GL",YES,YES,NO,NO,NO,96,52,17,54.2,23.9,"Strong appetite – high volume, strong conversion"
Contractors,91405,"Carpet, Rug, Furniture or Upholstery Cleaning–on Customers’ Premises","Excess Standalone, GL",YES,YES,NO,NO,NO,67,45,15,67.2,24.6,Moderate appetite – converts well
Contractors,97650,Metal Erection–Decorative or Artistic,"Excess Standalone, GL",YES,YES,NO,NO,NO,68,45,14,66.2,25.0,Moderate appetite – converts well
Contractors,90516,"Commercial Collection Receptacles – Construction Debris, Recyclables or Other Refuse","Excess Standalone, GL",YES,YES,NO,NO,NO,97,43,8,44.3,17.0,Moderate appetite
Contractors,91585,"Contractors–Subcontracted Work–In Connection with Construction, Reconstruction, Repair or Erection of Buildings","Excess Standalone, GL",YES,YES,NO,NO,NO,79,41,10,51.9,18.2,Moderate appetite
Contractors,96409,Insulation Work–Organic or Plastic in Solid State,"Excess Standalone, GL",YES,YES,NO,NO,NO,67,41,15,61.2,26.8,Moderate appetite – converts well
Contractors,96053,House Furnishings Installation,"Excess Standalone, GL",YES,YES,NO,NO,NO,52,40,5,76.9,11.1,Moderate appetite
Contractors,91481,Chimney Cleaning,"Excess Standalone, GL",YES,YES,NO,NO,NO,50,36,7,72.0,17.9,Moderate appetite
Contractors,98705,Sandblasting,"Excess Standalone, GL",YES,YES,NO,NO,NO,45,36,3,80.0,7.7,Moderate appetite
Contractors,98502,Prefabricated Building Erection,"Excess Standalone, GL",YES,YES,NO,NO,NO,82,35,14,42.7,29.2,Moderate appetite – converts well
Contractors,98303,Painting–Exterior–Buildings or Structures–Exceeding Three Stories in Height,"Excess Standalone, GL",YES,YES,NO,NO,NO,56,34,8,60.7,22.9,Moderate appetite – converts well
Contractors,98636,"Refrigeration Systems or Equipment–Dealers and Distributors and Installation, Servicing, or Repair–Commercial","Excess Standalone, GL",YES,YES,NO,NO,NO,44,31,8,70.5,22.2,Moderate appetite – converts well
Contractors,99650,Television or Radio Receiving Set Installation or Repair,"Excess Standalone, GL",YES,YES,NO,NO,NO,36,31,9,86.1,26.5,Moderate appetite – converts well
Contractors,91235,Boat Repair and Servicing,"Excess Standalone, GL",YES,YES,NO,NO,NO,127,30,14,23.6,27.5,Moderate appetite – converts well
Contractors,91343,Carpentry–Shop Only,"Excess Standalone, GL",YES,YES,NO,NO,NO,45,29,12,64.4,30.0,Moderate appetite – converts well
Contractors,98820,Sewer Mains or Connections Construction,"Excess Standalone, GL",YES,YES,NO,NO,NO,54,28,11,51.9,32.4,Moderate appetite – converts well
